DATE,IPG2211A2N
01-10-2020,91.7288
01-11-2020,92.992
01-12-2020,112.6681
01-01-2021,116.9989
01-02-2021,114.1177
01-03-2021,98.7179
01-04-2021,87.6118
01-05-2021,89.7311
01-06-2021,104.2213
01-07-2021,112.5363
01-08-2021,114.2149
01-09-2021,100.5376
01-10-2021,91.6349
01-11-2021,97.9335
01-12-2021,108.1238
01-01-2022,125.6794
01-02-2022,113.6572
01-03-2022,102.5691
01-04-2022,91.3843
01-05-2022,94.3582
01-06-2022,105.0858
01-07-2022,116.0599
01-08-2022,114.7776
01-09-2022,100.9932
01-10-2022,91.0842
01-11-2022,99.8793
01-12-2022,118.3698
01-01-2023,115.4409
01-02-2023,105.6466
01-03-2023,104.3278
01-04-2023,89.7288
01-05-2023,91.7973
01-06-2023,100.7517
01-07-2023,117.2872
01-08-2023,117.7969
01-09-2023,103.8604
01-10-2023,94.5422
01-11-2023,99.4709
01-12-2023,108.6596
01-01-2024,124.2325
01-02-2024,106.1255
01-03-2024,98.3225
01-04-2024,90.4548
01-05-2024,95.6632
01-06-2024,110.7447
01-07-2024,118.2783
